SLAMBench Report run started:	2020-02-23 09:32:03

Properties:
=================

frame-limit: 0
log-file: ./experiments/config-experiments/ICL2-KF-INT-00800.log
input: datasets/ICL_NUIM/living_room_traj2_loop.slam
load-slam-library: ./build/lib/libkfusion-cpp-library.dylib
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libint-skip-flow-filter.dylib
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4
skip-threshold: 0.008

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	X	Y	Z
44	1.7200000000	0.0033258300	0.0026920339	0.0055015511	0.0034860683	0.6291930000	0.0818500000	0.0446110000	0.0000000000	0.5003520000	0.0023170000	0	0	3.8006076813	3.9986841679	3.9893238544
45	1.7600000000	0.0033450893	0.0027065463	0.0055015511	0.0035048405	1.1790860000	0.0792160000	0.0532370000	0.0430780000	0.4976520000	0.5058420000	0	0	3.7922329903	4.0006747246	3.9930381775
46	1.8000000000	0.0034082141	0.0027217999	0.0055015511	0.0035113751	0.6720170000	0.0800120000	0.0556080000	0.0000010000	0.5322440000	0.0040140000	0	0	3.7862722874	4.0012898445	3.9931361675
47	1.8400000000	0.0034266224	0.0027367961	0.0055015511	0.0036170776	0.6867260000	0.1000090000	0.0436520000	0.0433390000	0.4972110000	0.0024460000	0	0	3.7832624912	3.9994781017	3.9928357601
48	1.8800000000	0.0033781717	0.0027501581	0.0055015511	0.0036604927	0.6321410000	0.0791950000	0.0541080000	0.0000010000	0.4964450000	0.0023320000	0	0	3.7786982059	3.9991884232	3.9939424992
49	1.9200000000	0.0035794692	0.0027670828	0.0055015511	0.0036222880	1.1695390000	0.0794060000	0.0464150000	0.0431630000	0.4966910000	0.5038010000	0	0	3.7715673447	4.0004119873	3.9947512150
50	1.9600000000	0.0035761660	0.0027832645	0.0055015511	0.0036079389	0.6305730000	0.0792980000	0.0533020000	0.0000000000	0.4955750000	0.0023280000	0	0	3.7572417259	4.0000801086	3.9996907711
51	2.0000000000	0.0035184498	0.0027976799	0.0055015511	0.0035822168	0.6737280000	0.0791310000	0.0531730000	0.0432060000	0.4958060000	0.0023490000	0	0	3.7588238716	3.9999413490	3.9966940880
52	2.0400000000	0.0035658584	0.0028124526	0.0055015511	0.0035470793	0.6334660000	0.0793600000	0.0557390000	0.0000000000	0.4959790000	0.0023210000	0	0	3.7548794746	4.0003604889	3.9959802628
53	2.0800000000	0.0034984914	0.0028253967	0.0055015511	0.0035916365	1.1927480000	0.0784930000	0.0623310000	0.0435170000	0.5018580000	0.5064770000	0	0	3.7528636456	3.9979722500	3.9927272797
54	2.1200000000	0.0036599229	0.0028408509	0.0055015511	0.0036670465	0.6297800000	0.0795250000	0.0455770000	0.0000010000	0.5021280000	0.0024830000	0	0	3.7398264408	3.9965598583	3.9985260963
55	2.1600000000	0.0035320045	0.0028534173	0.0055015511	0.0037614678	0.6775270000	0.0787410000	0.0541180000	0.0434970000	0.4987720000	0.0023240000	0	0	3.7374927998	3.9971909523	3.9982166290
56	2.2000000000	0.0036828937	0.0028682294	0.0055015511	0.0037688486	0.6339230000	0.0786100000	0.0539600000	0.0000010000	0.4988900000	0.0023950000	0	0	3.7176365852	3.9976880550	4.0073919296
57	2.2400000000	0.0038219409	0.0028849612	0.0055015511	0.0037478134	1.1767500000	0.0797980000	0.0544900000	0.0430050000	0.4960610000	0.5033290000	0	0	3.7128336430	3.9951205254	4.0079889297
58	2.2800000000	0.0036937215	0.0028989053	0.0055015511	0.0037568757	0.6314930000	0.0783810000	0.0535130000	0.0000000000	0.4971630000	0.0023700000	0	0	3.7034838200	3.9942696095	4.0107660294
59	2.3200000000	0.0038727783	0.0029154116	0.0055015511	0.0038958470	0.6654910000	0.0780530000	0.0423820000	0.0432610000	0.4992210000	0.0024990000	0	0	3.6893458366	3.9967958927	4.0165219307
60	2.3600000000	0.0038597416	0.0029311505	0.0055015511	0.0040110076	0.6236820000	0.0782020000	0.0465990000	0.0000010000	0.4964620000	0.0023490000	0	0	3.6862196922	3.9950752258	4.0145807266
61	2.4000000000	0.0038700569	0.0029465424	0.0055015511	0.0041278623	1.1745100000	0.0778170000	0.0517430000	0.0435670000	0.4974220000	0.5038890000	0	0	3.6794519424	3.9935913086	4.0143718719
62	2.4400000000	0.0038843427	0.0029616682	0.0055015511	0.0042928835	0.6293970000	0.0778100000	0.0510730000	0.0000000000	0.4980510000	0.0023910000	0	0	3.6557705402	3.9940500259	4.0246839523
63	2.4800000000	0.0039063301	0.0029766628	0.0055015511	0.0044369082	0.7454610000	0.0778960000	0.0559050000	0.0809850000	0.5280800000	0.0025190000	0	0	3.6470942497	3.9929685593	4.0258569717
64	2.5200000000	0.0039120424	0.0029912781	0.0055015511	0.0047971170	0.6370150000	0.0783570000	0.0541970000	0.0000010000	0.5012520000	0.0031300000	0	0	3.6345658302	3.9940986633	4.0304179192
65	2.5600000000	0.0039092205	0.0030054003	0.0055015511	0.0051042168	1.1785160000	0.0780370000	0.0530580000	0.0432380000	0.4980570000	0.5060420000	0	0	3.6207087040	3.9939813614	4.0341448784
66	2.6000000000	0.0040721400	0.0030215630	0.0055015511	0.0051951018	0.6239490000	0.0770540000	0.0441000000	0.0000010000	0.5003430000	0.0023790000	0	0	3.6102135181	3.9952826500	4.0361313820
67	2.6400000000	0.0041016834	0.0030376842	0.0055015511	0.0052462365	0.6787910000	0.0772460000	0.0552310000	0.0438660000	0.4999350000	0.0024260000	0	0	3.6000037193	3.9977262020	4.0384044647
68	2.6800000000	0.0043081949	0.0030563682	0.0055015511	0.0052293981	0.6349730000	0.0782100000	0.0529580000	0.0000000000	0.5013740000	0.0023410000	0	0	3.5890214443	3.9976375103	4.0377349854
69	2.7200000000	0.0043247179	0.0030747501	0.0055015511	0.0051927484	1.1836540000	0.0770020000	0.0532140000	0.0435170000	0.5011720000	0.5086690000	0	0	3.5794913769	3.9978690147	4.0422301292
70	2.7600000000	0.0044273194	0.0030940725	0.0055015511	0.0051651205	0.6350410000	0.0772500000	0.0527140000	0.0000000000	0.5026650000	0.0023300000	0	0	3.5706284046	3.9997220039	4.0418829918
71	2.8000000000	0.0044263359	0.0031128368	0.0055015511	0.0052162421	0.6686660000	0.0779010000	0.0440900000	0.0438940000	0.5003910000	0.0023130000	0	0	3.5634377003	4.0003209114	4.0388045311
72	2.8400000000	0.0047300691	0.0031352984	0.0055015511	0.0058997149	0.6355460000	0.0769850000	0.0541430000	0.0000000000	0.5020740000	0.0022670000	0	0	3.5476479530	4.0055451393	4.0417685509
73	2.8800000000	0.0047880821	0.0031579392	0.0055015511	0.0059716832	1.1927940000	0.0770640000	0.0527500000	0.0439830000	0.5029300000	0.5159830000	0	0	3.5377209187	4.0069355965	4.0434455872
74	2.9200000000	0.0048688161	0.0031810592	0.0055015511	0.0060621741	0.6358090000	0.0772860000	0.0542830000	0.0000000000	0.5018680000	0.0022870000	0	0	3.5356769562	4.0086240768	4.0402965546
75	2.9600000000	0.0050445120	0.0032059052	0.0055015511	0.0061161720	0.6801280000	0.0768040000	0.0542160000	0.0440690000	0.5026550000	0.0022970000	0	0	3.5345199108	4.0122652054	4.0375251770
76	3.0000000000	0.0050753532	0.0032305032	0.0055015511	0.0061503616	0.6350720000	0.0767150000	0.0515210000	0.0000010000	0.5043880000	0.0023520000	0	0	3.5365347862	4.0153913498	4.0294241905
77	3.0400000000	0.0048940112	0.0032521072	0.0055015511	0.0061735359	1.1857880000	0.0785840000	0.0432930000	0.0442210000	0.5043210000	0.5152830000	0	0	3.5357229710	4.0158758163	4.0226511955
78	3.0800000000	0.0045078169	0.0032682061	0.0055015511	0.0061426588	0.6368250000	0.0767080000	0.0515570000	0.0000010000	0.5061880000	0.0022940000	0	0	3.5368659496	4.0172095299	4.0154652596
79	3.1200000000	0.0043801977	0.0032822819	0.0055015511	0.0061045546	0.6744630000	0.0765980000	0.0451340000	0.0442330000	0.5061280000	0.0022820000	0	0	3.5297675133	4.0203051567	4.0133032799
80	3.1600000000	0.0041195103	0.0032927473	0.0055015511	0.0060691229	0.6403580000	0.0770810000	0.0531590000	0.0000000000	0.5078590000	0.0021760000	0	0	3.5258750916	4.0231771469	4.0096049309
81	3.2000000000	0.0041722963	0.0033036059	0.0055015511	0.0060410938	1.2534490000	0.0766210000	0.1024090000	0.0447940000	0.5073660000	0.5221580000	0	0	3.5140287876	4.0221834183	4.0126156807
82	3.2400000000	0.0044058184	0.0033170475	0.0055015511	0.0060492234	0.6460170000	0.0762870000	0.0589080000	0.0000010000	0.5084780000	0.0022610000	0	0	3.5058395863	4.0223259926	4.0121946335
83	3.2800000000	0.0043075490	0.0033289813	0.0055015511	0.0060867384	0.6778430000	0.0788360000	0.0446080000	0.0450130000	0.5071280000	0.0021750000	0	0	3.4979178905	4.0244045258	4.0090570450
84	3.3200000000	0.0042933626	0.0033404620	0.0055015511	0.0060776027	0.6397810000	0.0763560000	0.0530970000	0.0000000000	0.5080730000	0.0021740000	0	0	3.4851734638	4.0234212875	4.0093340874
85	3.3600000000	0.0045061954	0.0033541765	0.0055015511	0.0060684310	1.2150850000	0.0767690000	0.0582610000	0.0449950000	0.5081010000	0.5268630000	0	0	3.4719917774	4.0243120193	4.0097441673
86	3.4000000000	0.0045118984	0.0033676384	0.0055015511	0.0061073249	0.6384860000	0.0764490000	0.0512670000	0.0000010000	0.5085560000	0.0021240000	0	0	3.4569852352	4.0252122879	4.0138039589
87	3.4400000000	0.0041984711	0.0033771882	0.0055015511	0.0062320287	0.6929320000	0.0762170000	0.0598390000	0.0453260000	0.5092150000	0.0022440000	0	0	3.4468982220	4.0239338875	4.0134758949
88	3.4800000000	0.0038761455	0.0033828582	0.0055015511	0.0063827156	0.6304550000	0.0764370000	0.0427340000	0.0000010000	0.5090690000	0.0021250000	0	0	3.4334392548	4.0241994858	4.0137124062
89	3.5200000000	0.0040151877	0.0033899630	0.0055015511	0.0065287073	1.2173860000	0.0764770000	0.0575180000	0.0458090000	0.5074900000	0.5300010000	0	0	3.4244003296	4.0244159698	4.0138211250
90	3.5600000000	0.0044031981	0.0034012211	0.0055015511	0.0066375798	0.6363200000	0.0760070000	0.0490930000	0.0000010000	0.5089470000	0.0021860000	0	0	3.4174854755	4.0226683617	4.0125918388
91	3.6000000000	0.0041566924	0.0034095230	0.0055015511	0.0066781095	0.6808970000	0.0762910000	0.0486180000	0.0463970000	0.5073850000	0.0021190000	0	0	3.4026193619	4.0213522911	4.0156269073
92	3.6400000000	0.0042276653	0.0034184159	0.0055015511	0.0066900431	0.6368150000	0.0762260000	0.0497710000	0.0000010000	0.5086780000	0.0020460000	0	0	3.3875219822	4.0234832764	4.0208239555
93	3.6800000000	0.0041637290	0.0034264300	0.0055015511	0.0066694310	1.2081360000	0.0764570000	0.0486810000	0.0459840000	0.5072680000	0.5296590000	0	0	3.3825414181	4.0226359367	4.0174231529
94	3.7200000000	0.0040693246	0.0034332693	0.0055015511	0.0066415418	0.6442700000	0.0762620000	0.0563310000	0.0000000000	0.5094680000	0.0021180000	0	0	3.3752577305	4.0201745033	4.0169801712
95	3.7600000000	0.0041937376	0.0034412742	0.0055015511	0.0066270330	0.6809320000	0.0770540000	0.0503460000	0.0460480000	0.5053680000	0.0020270000	0	0	3.3623626232	4.0215334892	4.0235376358
96	3.8000000000	0.0041481135	0.0034486371	0.0055015511	0.0065993321	0.6415960000	0.0762230000	0.0563480000	0.0000000000	0.5068850000	0.0020530000	0	0	3.3520479202	4.0210266113	4.0231170654
97	3.8400000000	0.0042966479	0.0034573795	0.0055015511	0.0065655555	1.2142300000	0.0762170000	0.0507160000	0.0464700000	0.5091170000	0.5316180000	0	0	3.3467411995	4.0183119774	4.0250158310
98	3.8800000000	0.0042435187	0.0034654013	0.0055015511	0.0065401576	0.6351670000	0.0765370000	0.0483410000	0.0000000000	0.5080940000	0.0021030000	0	0	3.3321287632	4.0176334381	4.0290899277
99	3.9200000000	0.0043203272	0.0034740370	0.0055015511	0.0065129732	0.6816320000	0.0762050000	0.0506440000	0.0461340000	0.5064450000	0.0021130000	0	0	3.3266921043	4.0190477371	4.0322299004
100	3.9600000000	0.0044253892	0.0034835505	0.0055015511	0.0064802173	0.6340770000	0.0763780000	0.0489610000	0.0000010000	0.5065930000	0.0020450000	0	0	3.3185496330	4.0186219215	4.0362696648
101	4.0000000000	0.0041726893	0.0034903736	0.0055015511	0.0064505334	1.2244060000	0.0763280000	0.0642590000	0.0463800000	0.5059290000	0.5314210000	0	0	3.3094899654	4.0169072151	4.0422902107
102	4.0400000000	0.0041463682	0.0034968050	0.0055015511	0.0064299249	0.6329910000	0.0763930000	0.0482510000	0.0000010000	0.5061620000	0.0020770000	0	0	3.3058989048	4.0154061317	4.0439100266
103	4.0800000000	0.0041686101	0.0035033273	0.0055015511	0.0063992467	0.6788970000	0.0761090000	0.0485880000	0.0462160000	0.5057380000	0.0021460000	0	0	3.2951936722	4.0149874687	4.0505418777
104	4.1200000000	0.0042536259	0.0035105418	0.0055015511	0.0063736932	0.6319770000	0.0764310000	0.0481150000	0.0000010000	0.5053100000	0.0020280000	0	0	3.2826068401	4.0132412910	4.0633516312
105	4.1600000000	0.0042670611	0.0035177467	0.0055015511	0.0063732737	1.2102300000	0.0768230000	0.0504630000	0.0467630000	0.5046090000	0.5314670000	0	0	3.2798745632	4.0129694939	4.0651140213
106	4.2000000000	0.0042519546	0.0035246732	0.0055015511	0.0063807497	0.6335050000	0.0771340000	0.0500950000	0.0000000000	0.5040240000	0.0021390000	0	0	3.2734243870	4.0136265755	4.0701704025
107	4.2400000000	0.0043523684	0.0035324087	0.0055015511	0.0063642840	0.6802000000	0.0762560000	0.0480190000	0.0472740000	0.5063770000	0.0021750000	0	0	3.2732272148	4.0103826523	4.0664892197
108	4.2800000000	0.0040824749	0.0035375019	0.0055015511	0.0063355006	0.6328040000	0.0763000000	0.0499480000	0.0000000000	0.5043340000	0.0021190000	0	0	3.2631123066	4.0093379021	4.0749449730
109	4.3200000000	0.0042370302	0.0035439196	0.0055015511	0.0063172163	1.2175510000	0.0754470000	0.0566300000	0.0464990000	0.5030910000	0.5357860000	0	0	3.2616040707	4.0093727112	4.0760278702
110	4.3600000000	0.0045651752	0.0035532037	0.0055015511	0.0063272372	0.6304600000	0.0760610000	0.0479030000	0.0000000000	0.5043700000	0.0020300000	0	0	3.2542734146	4.0088281631	4.0843935013
111	4.4000000000	0.0043248455	0.0035601554	0.0055015511	0.0063263718	0.6845390000	0.0770670000	0.0560080000	0.0468720000	0.5024170000	0.0020760000	0	0	3.2475299835	4.0074939728	4.0910854340
112	4.4400000000	0.0043372642	0.0035670939	0.0055015511	0.0063277155	0.6308030000	0.0765220000	0.0480490000	0.0000010000	0.5040850000	0.0020400000	0	0	3.2396156788	4.0080847740	4.0989565849
113	4.4800000000	0.0044071907	0.0035745284	0.0055015511	0.0063347246	1.2044890000	0.0757200000	0.0493230000	0.0467900000	0.5015340000	0.5310230000	0	0	3.2355160713	4.0079350471	4.1031627655
114	4.5200000000	0.0044070743	0.0035818314	0.0055015511	0.0063809577	0.6415290000	0.0757020000	0.0480610000	0.0000000000	0.5132090000	0.0043650000	0	0	3.2246799469	4.0078353882	4.1154494286
115	4.5600000000	0.0044499314	0.0035893801	0.0055015511	0.0064042073	0.6864350000	0.0898460000	0.0470930000	0.0465300000	0.5006660000	0.0021960000	0	0	3.2240977287	4.0077090263	4.1172904968
116	4.6000000000	0.0044587501	0.0035968747	0.0055015511	0.0064448155	0.6212510000	0.0762550000	0.0418890000	0.0000010000	0.5009050000	0.0020890000	0	0	3.2136869431	4.0103359222	4.1293349266
117	4.6400000000	0.0045406483	0.0036049411	0.0055015511	0.0064524190	1.1915690000	0.0763290000	0.0419620000	0.0468210000	0.4985260000	0.5278140000	0	0	3.2061164379	4.0132846832	4.1397881508
118	4.6800000000	0.0045140842	0.0036126457	0.0055015511	0.0064252216	0.6342180000	0.0769620000	0.0503010000	0.0000000000	0.5046290000	0.0022190000	0	0	3.2004292011	4.0117287636	4.1439862251
119	4.7200000000	0.0043879850	0.0036191612	0.0055015511	0.0064032651	0.7068050000	0.0762030000	0.0480940000	0.0469660000	0.5331640000	0.0022630000	0	0	3.1939742565	4.0112414360	4.1509838104
120	4.7600000000	0.0043916288	0.0036255984	0.0055015511	0.0063785361	0.6978720000	0.0776460000	0.0991230000	0.0000000000	0.5185950000	0.0024020000	0	0	3.1871032715	4.0125875473	4.1592216492
121	4.8000000000	0.0042435504	0.0036307055	0.0055015511	0.0063613568	1.2338600000	0.0777480000	0.0571710000	0.0478990000	0.5139200000	0.5370130000	0	0	3.1776585579	4.0120449066	4.1769504547
122	4.8400000000	0.0044044182	0.0036370474	0.0055015511	0.0063388899	0.6231630000	0.0771820000	0.0455940000	0.0000000000	0.4982300000	0.0020480000	0	0	3.1762087345	4.0135517120	4.1777997017
123	4.8800000000	0.0044389884	0.0036435672	0.0055015511	0.0063168011	0.6788290000	0.0761090000	0.0574030000	0.0481540000	0.4948840000	0.0021650000	0	0	3.1705729961	4.0177226067	4.1841802597
