SLAMBench Report run started:	2020-02-23 09:07:44

Properties:
=================

frame-limit: 0
log-file: ./experiments/config-experiments/ICL2-KF-INT-00500.log
input: datasets/ICL_NUIM/living_room_traj2_loop.slam
load-slam-library: ./build/lib/libkfusion-cpp-library.dylib
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libint-skip-flow-filter.dylib
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4
skip-threshold: 0.005

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	X	Y	Z
20	0.7600000000	0.0025416587	0.0023314972	0.0055015511	0.0029368953	0.6165600000	0.0804480000	0.0443290000	0.0000010000	0.4894200000	0.0023060000	0	0	3.9790830612	4.0002136230	3.9993202686
21	0.8000000000	0.0025807053	0.0023433642	0.0055015511	0.0028725928	1.1623430000	0.0807350000	0.0534020000	0.0425250000	0.4891390000	0.4964850000	0	0	3.9761929512	4.0010929108	3.9996607304
22	0.8400000000	0.0028562606	0.0023666777	0.0055015511	0.0028130201	0.6193170000	0.0805980000	0.0463460000	0.0000010000	0.4899460000	0.0023800000	0	0	3.9707212448	4.0004558563	3.9992079735
23	0.8800000000	0.0028551938	0.0023879175	0.0055015511	0.0027483784	0.6703180000	0.0803570000	0.0558580000	0.0424940000	0.4891910000	0.0023700000	0	0	3.9713082314	3.9995715618	3.9975645542
24	0.9200000000	0.0028111078	0.0024055505	0.0055015511	0.0026883298	0.6248880000	0.0811060000	0.0437870000	0.0000000000	0.4974780000	0.0024630000	0	0	3.9629046917	4.0010108948	3.9969229698
25	0.9600000000	0.0027976024	0.0024212325	0.0055015511	0.0026601784	1.1922810000	0.0809190000	0.0434690000	0.0425750000	0.5034320000	0.5218120000	0	0	3.9617183208	4.0022773743	3.9961576462
26	1.0000000000	0.0028472953	0.0024376196	0.0055015511	0.0026079033	0.6472200000	0.0846520000	0.0560560000	0.0000010000	0.5039750000	0.0024860000	0	0	3.9554529190	4.0008077621	3.9970505238
27	1.0400000000	0.0026989488	0.0024472984	0.0055015511	0.0026330710	0.6969540000	0.0841080000	0.0512100000	0.0438470000	0.5152120000	0.0025010000	0	0	3.9496526718	4.0000433922	3.9948580265
28	1.0800000000	0.0027757999	0.0024590306	0.0055015511	0.0027071622	0.6440660000	0.0829170000	0.0623020000	0.0000000000	0.4963890000	0.0024040000	0	0	3.9448726177	4.0019135475	3.9945604801
29	1.1200000000	0.0027224279	0.0024681133	0.0055015511	0.0027849895	1.1756160000	0.0819380000	0.0596720000	0.0434010000	0.4926510000	0.4979020000	0	0	3.9388141632	4.0020322800	3.9917833805
30	1.1600000000	0.0029723723	0.0024849219	0.0055015511	0.0027877223	0.6286820000	0.0819800000	0.0529610000	0.0000000000	0.4913850000	0.0023040000	0	0	3.9293599129	4.0014410019	3.9938361645
31	1.2000000000	0.0028923196	0.0024980638	0.0055015511	0.0027640898	0.6804960000	0.0813360000	0.0621360000	0.0428050000	0.4919340000	0.0022260000	0	0	3.9227764606	4.0022115707	3.9920413494
32	1.2400000000	0.0029370915	0.0025117834	0.0055015511	0.0027640858	0.6350740000	0.0817920000	0.0552110000	0.0000010000	0.4957360000	0.0022840000	0	0	3.9160673618	4.0025391579	3.9897453785
33	1.2800000000	0.0029342324	0.0025245849	0.0055015511	0.0028064623	1.1817910000	0.0819220000	0.0530570000	0.0428010000	0.4916950000	0.5122420000	0	0	3.9104619026	4.0022311211	3.9895095825
34	1.3200000000	0.0028950730	0.0025354816	0.0055015511	0.0027797242	0.6363770000	0.0869430000	0.0521560000	0.0000000000	0.4946800000	0.0025330000	0	0	3.8820011616	4.0016937256	3.9892096519
35	1.3600000000	0.0030741547	0.0025508723	0.0055015511	0.0030460693	0.6689350000	0.0805900000	0.0503880000	0.0425770000	0.4930080000	0.0023110000	0	0	3.8787074089	4.0025601387	3.9865641594
36	1.4000000000	0.0030332129	0.0025642706	0.0055015511	0.0035562982	0.6307490000	0.0807950000	0.0537270000	0.0000000000	0.4938450000	0.0023240000	0	0	3.8730514050	4.0033059120	3.9847660065
37	1.4400000000	0.0030157461	0.0025764726	0.0055015511	0.0035938777	1.1777080000	0.0803900000	0.0605020000	0.0430110000	0.4931130000	0.5006340000	0	0	3.8621103764	4.0013189316	3.9860284328
38	1.4800000000	0.0032005347	0.0025928953	0.0055015511	0.0035536177	0.6356990000	0.0798580000	0.0551020000	0.0000010000	0.4981120000	0.0025510000	0	0	3.8505403996	4.0007658005	3.9867577553
39	1.5200000000	0.0032575962	0.0026099389	0.0055015511	0.0035108798	0.6944540000	0.0857580000	0.0520090000	0.0504120000	0.5036660000	0.0025390000	0	0	3.8474044800	4.0001392365	3.9834115505
40	1.5600000000	0.0033195622	0.0026276795	0.0055015511	0.0034941276	0.6265990000	0.0796470000	0.0446250000	0.0000000000	0.4997650000	0.0025020000	0	0	3.8375029564	3.9985287189	3.9840970039
41	1.6000000000	0.0033402247	0.0026450587	0.0055015511	0.0035145879	1.1785010000	0.0798930000	0.0556070000	0.0431240000	0.4968030000	0.5030120000	0	0	3.8271043301	3.9974167347	3.9858510494
42	1.6400000000	0.0033453396	0.0026617320	0.0055015511	0.0034757774	0.6237390000	0.0792900000	0.0441380000	0.0000000000	0.4979140000	0.0023320000	0	0	3.8137385845	3.9989142418	3.9880647659
43	1.6800000000	0.0033309176	0.0026772945	0.0055015511	0.0034549186	0.6706750000	0.0793280000	0.0507700000	0.0432780000	0.4950170000	0.0022250000	0	0	3.8069241047	3.9993524551	3.9914381504
44	1.7200000000	0.0033258300	0.0026920339	0.0055015511	0.0034860683	0.6227620000	0.0792510000	0.0441670000	0.0000000000	0.4969800000	0.0023050000	0	0	3.8006076813	3.9986841679	3.9893238544
45	1.7600000000	0.0033450893	0.0027065463	0.0055015511	0.0035048405	1.1750320000	0.0795890000	0.0531130000	0.0431450000	0.4963120000	0.5028090000	0	0	3.7922329903	4.0006747246	3.9930381775
46	1.8000000000	0.0034082141	0.0027217999	0.0055015511	0.0035113751	0.6361120000	0.0793040000	0.0556720000	0.0000000000	0.4984980000	0.0025660000	0	0	3.7862722874	4.0012898445	3.9931361675
47	1.8400000000	0.0034266224	0.0027367961	0.0055015511	0.0036170776	0.6643650000	0.0794160000	0.0443690000	0.0432130000	0.4949820000	0.0023240000	0	0	3.7832624912	3.9994781017	3.9928357601
48	1.8800000000	0.0033781717	0.0027501581	0.0055015511	0.0036604927	0.6296390000	0.0793810000	0.0539560000	0.0000010000	0.4938230000	0.0024090000	0	0	3.7786982059	3.9991884232	3.9939424992
49	1.9200000000	0.0035794692	0.0027670828	0.0055015511	0.0036222880	1.1695870000	0.0816330000	0.0470790000	0.0430720000	0.4971120000	0.5006250000	0	0	3.7715673447	4.0004119873	3.9947512150
50	1.9600000000	0.0035761660	0.0027832645	0.0055015511	0.0036079389	0.6293940000	0.0787540000	0.0535750000	0.0000000000	0.4945860000	0.0024080000	0	0	3.7572417259	4.0000801086	3.9996907711
51	2.0000000000	0.0035184498	0.0027976799	0.0055015511	0.0035822168	0.6791080000	0.0791090000	0.0531850000	0.0431990000	0.5012560000	0.0022950000	0	0	3.7588238716	3.9999413490	3.9966940880
52	2.0400000000	0.0035658584	0.0028124526	0.0055015511	0.0035470793	0.6317590000	0.0790100000	0.0556450000	0.0000000000	0.4947440000	0.0022960000	0	0	3.7548794746	4.0003604889	3.9959802628
53	2.0800000000	0.0034984914	0.0028253967	0.0055015511	0.0035916365	1.1824180000	0.0782680000	0.0626200000	0.0431160000	0.4960030000	0.5023450000	0	0	3.7528636456	3.9979722500	3.9927272797
54	2.1200000000	0.0036599229	0.0028408509	0.0055015511	0.0036670465	0.6194230000	0.0789130000	0.0441240000	0.0000000000	0.4940560000	0.0022650000	0	0	3.7398264408	3.9965598583	3.9985260963
55	2.1600000000	0.0035320045	0.0028534173	0.0055015511	0.0037614678	0.6725380000	0.0786200000	0.0533360000	0.0431670000	0.4950440000	0.0022970000	0	0	3.7374927998	3.9971909523	3.9982166290
56	2.2000000000	0.0036828937	0.0028682294	0.0055015511	0.0037688486	0.6455570000	0.0782700000	0.0535040000	0.0000000000	0.5111240000	0.0025920000	0	0	3.7176365852	3.9976880550	4.0073919296
57	2.2400000000	0.0038219409	0.0028849612	0.0055015511	0.0037478134	1.1807870000	0.0841280000	0.0538540000	0.0434090000	0.4964970000	0.5028200000	0	0	3.7128336430	3.9951205254	4.0079889297
58	2.2800000000	0.0036937215	0.0028989053	0.0055015511	0.0037568757	0.6280170000	0.0791440000	0.0534130000	0.0000000000	0.4931070000	0.0022620000	0	0	3.7034838200	3.9942696095	4.0107660294
59	2.3200000000	0.0038727783	0.0029154116	0.0055015511	0.0038958470	0.6602570000	0.0782900000	0.0418570000	0.0435860000	0.4941250000	0.0023300000	0	0	3.6893458366	3.9967958927	4.0165219307
60	2.3600000000	0.0038597416	0.0029311505	0.0055015511	0.0040110076	0.6216860000	0.0779200000	0.0464740000	0.0000000000	0.4949510000	0.0022720000	0	0	3.6862196922	3.9950752258	4.0145807266
61	2.4000000000	0.0038700569	0.0029465424	0.0055015511	0.0041278623	1.1689710000	0.0782290000	0.0510400000	0.0432880000	0.4947040000	0.5016360000	0	0	3.6794519424	3.9935913086	4.0143718719
62	2.4400000000	0.0038843427	0.0029616682	0.0055015511	0.0042928835	0.6251770000	0.0777460000	0.0503510000	0.0000000000	0.4947510000	0.0022550000	0	0	3.6557705402	3.9940500259	4.0246839523
63	2.4800000000	0.0039063301	0.0029766628	0.0055015511	0.0044369082	0.6787660000	0.0778460000	0.0589540000	0.0434390000	0.4960160000	0.0024380000	0	0	3.6470942497	3.9929685593	4.0258569717
64	2.5200000000	0.0039120424	0.0029912781	0.0055015511	0.0047971170	0.6298960000	0.0776260000	0.0537130000	0.0000010000	0.4961020000	0.0023720000	0	0	3.6345658302	3.9940986633	4.0304179192
65	2.5600000000	0.0039092205	0.0030054003	0.0055015511	0.0051042168	1.1749420000	0.0777880000	0.0533970000	0.0433650000	0.4961910000	0.5041040000	0	0	3.6207087040	3.9939813614	4.0341448784
66	2.6000000000	0.0040721400	0.0030215630	0.0055015511	0.0051951018	0.6217490000	0.0773900000	0.0438750000	0.0000000000	0.4981040000	0.0023000000	0	0	3.6102135181	3.9952826500	4.0361313820
67	2.6400000000	0.0041016834	0.0030376842	0.0055015511	0.0052462365	0.6804360000	0.0772040000	0.0558770000	0.0435700000	0.5014070000	0.0022970000	0	0	3.6000037193	3.9977262020	4.0384044647
68	2.6800000000	0.0043081949	0.0030563682	0.0055015511	0.0052293981	0.6312960000	0.0769640000	0.0531910000	0.0000000000	0.4987560000	0.0022920000	0	0	3.5890214443	3.9976375103	4.0377349854
69	2.7200000000	0.0043247179	0.0030747501	0.0055015511	0.0051927484	1.1997880000	0.0771310000	0.0537850000	0.0436870000	0.4983450000	0.5267620000	0	0	3.5794913769	3.9978690147	4.0422301292
70	2.7600000000	0.0044273194	0.0030940725	0.0055015511	0.0051651205	0.6323210000	0.0770580000	0.0529150000	0.0000000000	0.4999690000	0.0022860000	0	0	3.5706284046	3.9997220039	4.0418829918
71	2.8000000000	0.0044263359	0.0031128368	0.0055015511	0.0052162421	0.6667740000	0.0774390000	0.0440950000	0.0439070000	0.4989820000	0.0022680000	0	0	3.5634377003	4.0003209114	4.0388045311
72	2.8400000000	0.0047300691	0.0031352984	0.0055015511	0.0058997149	0.6317470000	0.0769390000	0.0526360000	0.0000000000	0.4998010000	0.0022820000	0	0	3.5476479530	4.0055451393	4.0417685509
73	2.8800000000	0.0047880821	0.0031579392	0.0055015511	0.0059716832	1.1823290000	0.0770690000	0.0523340000	0.0439810000	0.4993130000	0.5095470000	0	0	3.5377209187	4.0069355965	4.0434455872
74	2.9200000000	0.0048688161	0.0031810592	0.0055015511	0.0060621741	0.6327990000	0.0769260000	0.0543040000	0.0000000000	0.4991760000	0.0023070000	0	0	3.5356769562	4.0086240768	4.0402965546
75	2.9600000000	0.0050445120	0.0032059052	0.0055015511	0.0061161720	0.6777880000	0.0772990000	0.0544710000	0.0439900000	0.4997110000	0.0022400000	0	0	3.5345199108	4.0122652054	4.0375251770
76	3.0000000000	0.0050753532	0.0032305032	0.0055015511	0.0061503616	0.6336800000	0.0777560000	0.0516260000	0.0000000000	0.5020890000	0.0021240000	0	0	3.5365347862	4.0153913498	4.0294241905
77	3.0400000000	0.0048940112	0.0032521072	0.0055015511	0.0061735359	1.1782380000	0.0765640000	0.0422770000	0.0443980000	0.5020020000	0.5129100000	0	0	3.5357229710	4.0158758163	4.0226511955
78	3.0800000000	0.0045078169	0.0032682061	0.0055015511	0.0061426588	0.6326700000	0.0767840000	0.0509690000	0.0000000000	0.5026810000	0.0021580000	0	0	3.5368659496	4.0172095299	4.0154652596
79	3.1200000000	0.0043801977	0.0032822819	0.0055015511	0.0061045546	0.6729900000	0.0770520000	0.0445310000	0.0445260000	0.5045980000	0.0022000000	0	0	3.5297675133	4.0203051567	4.0133032799
80	3.1600000000	0.0041195103	0.0032927473	0.0055015511	0.0060691229	0.6375630000	0.0763970000	0.0526610000	0.0000000000	0.5062230000	0.0022030000	0	0	3.5258750916	4.0231771469	4.0096049309
81	3.2000000000	0.0041722963	0.0033036059	0.0055015511	0.0060410938	1.2454290000	0.0762630000	0.1019870000	0.0446280000	0.5040740000	0.5183920000	0	0	3.5140287876	4.0221834183	4.0126156807
82	3.2400000000	0.0044058184	0.0033170475	0.0055015511	0.0060492234	0.6427200000	0.0768600000	0.0586340000	0.0000000000	0.5050290000	0.0021210000	0	0	3.5058395863	4.0223259926	4.0121946335
83	3.2800000000	0.0043075490	0.0033289813	0.0055015511	0.0060867384	0.6719690000	0.0759510000	0.0436230000	0.0449200000	0.5052520000	0.0021390000	0	0	3.4979178905	4.0244045258	4.0090570450
84	3.3200000000	0.0042933626	0.0033404620	0.0055015511	0.0060776027	0.6358370000	0.0764430000	0.0522230000	0.0000000000	0.5049940000	0.0020870000	0	0	3.4851734638	4.0234212875	4.0093340874
85	3.3600000000	0.0045061954	0.0033541765	0.0055015511	0.0060684310	1.2076000000	0.0763650000	0.0568410000	0.0451000000	0.5065040000	0.5227030000	0	0	3.4719917774	4.0243120193	4.0097441673
86	3.4000000000	0.0045118984	0.0033676384	0.0055015511	0.0061073249	0.6357440000	0.0766020000	0.0517120000	0.0000010000	0.5053280000	0.0020180000	0	0	3.4569852352	4.0252122879	4.0138039589
87	3.4400000000	0.0041984711	0.0033771882	0.0055015511	0.0062320287	0.6925080000	0.0759920000	0.0602680000	0.0455630000	0.5083820000	0.0022050000	0	0	3.4468982220	4.0239338875	4.0134758949
88	3.4800000000	0.0038761455	0.0033828582	0.0055015511	0.0063827156	0.6267180000	0.0761750000	0.0428270000	0.0000000000	0.5055140000	0.0021160000	0	0	3.4334392548	4.0241994858	4.0137124062
89	3.5200000000	0.0040151877	0.0033899630	0.0055015511	0.0065287073	1.2101660000	0.0763830000	0.0576880000	0.0457200000	0.5053050000	0.5249850000	0	0	3.4244003296	4.0244159698	4.0138211250
90	3.5600000000	0.0044031981	0.0034012211	0.0055015511	0.0066375798	0.6326290000	0.0762620000	0.0486620000	0.0000000000	0.5055520000	0.0020680000	0	0	3.4174854755	4.0226683617	4.0125918388
91	3.6000000000	0.0041566924	0.0034095230	0.0055015511	0.0066781095	0.6778780000	0.0764760000	0.0492620000	0.0460260000	0.5039780000	0.0020450000	0	0	3.4026193619	4.0213522911	4.0156269073
92	3.6400000000	0.0042276653	0.0034184159	0.0055015511	0.0066900431	0.6331170000	0.0762730000	0.0490330000	0.0000010000	0.5057020000	0.0020220000	0	0	3.3875219822	4.0234832764	4.0208239555
93	3.6800000000	0.0041637290	0.0034264300	0.0055015511	0.0066694310	1.2069130000	0.0770120000	0.0487890000	0.0458680000	0.5067310000	0.5284240000	0	0	3.3825414181	4.0226359367	4.0174231529
94	3.7200000000	0.0040693246	0.0034332693	0.0055015511	0.0066415418	0.6412570000	0.0764080000	0.0564600000	0.0000000000	0.5062260000	0.0020490000	0	0	3.3752577305	4.0201745033	4.0169801712
95	3.7600000000	0.0041937376	0.0034412742	0.0055015511	0.0066270330	0.6796420000	0.0760340000	0.0508810000	0.0461120000	0.5044580000	0.0020670000	0	0	3.3623626232	4.0215334892	4.0235376358
96	3.8000000000	0.0041481135	0.0034486371	0.0055015511	0.0065993321	0.6416550000	0.0772440000	0.0565010000	0.0000010000	0.5058710000	0.0019490000	0	0	3.3520479202	4.0210266113	4.0231170654
97	3.8400000000	0.0042966479	0.0034573795	0.0055015511	0.0065655555	1.2071550000	0.0761460000	0.0505290000	0.0461970000	0.5048230000	0.5293590000	0	0	3.3467411995	4.0183119774	4.0250158310
98	3.8800000000	0.0042435187	0.0034654013	0.0055015511	0.0065401576	0.6334460000	0.0762880000	0.0481210000	0.0000010000	0.5067170000	0.0022270000	0	0	3.3321287632	4.0176334381	4.0290899277
99	3.9200000000	0.0043203272	0.0034740370	0.0055015511	0.0065129732	0.6791140000	0.0762720000	0.0503490000	0.0460640000	0.5042120000	0.0021130000	0	0	3.3266921043	4.0190477371	4.0322299004
100	3.9600000000	0.0044253892	0.0034835505	0.0055015511	0.0064802173	0.6302830000	0.0765680000	0.0481470000	0.0000010000	0.5034770000	0.0019940000	0	0	3.3185496330	4.0186219215	4.0362696648
101	4.0000000000	0.0041726893	0.0034903736	0.0055015511	0.0064505334	1.2197590000	0.0760370000	0.0642120000	0.0462270000	0.5036740000	0.5295130000	0	0	3.3094899654	4.0169072151	4.0422902107
102	4.0400000000	0.0041463682	0.0034968050	0.0055015511	0.0064299249	0.6316510000	0.0760990000	0.0485570000	0.0000010000	0.5049000000	0.0019960000	0	0	3.3058989048	4.0154061317	4.0439100266
103	4.0800000000	0.0041686101	0.0035033273	0.0055015511	0.0063992467	0.6746430000	0.0761080000	0.0482510000	0.0464250000	0.5017510000	0.0020130000	0	0	3.2951936722	4.0149874687	4.0505418777
104	4.1200000000	0.0042536259	0.0035105418	0.0055015511	0.0063736932	0.6286140000	0.0759480000	0.0483660000	0.0000000000	0.5022190000	0.0019850000	0	0	3.2826068401	4.0132412910	4.0633516312
105	4.1600000000	0.0042670611	0.0035177467	0.0055015511	0.0063732737	1.2069200000	0.0763080000	0.0497890000	0.0463720000	0.5049450000	0.5293930000	0	0	3.2798745632	4.0129694939	4.0651140213
106	4.2000000000	0.0042519546	0.0035246732	0.0055015511	0.0063807497	0.6301900000	0.0755600000	0.0502860000	0.0000000000	0.5022310000	0.0020190000	0	0	3.2734243870	4.0136265755	4.0701704025
107	4.2400000000	0.0043523684	0.0035324087	0.0055015511	0.0063642840	0.6790680000	0.0762280000	0.0477340000	0.0464130000	0.5064980000	0.0020960000	0	0	3.2732272148	4.0103826523	4.0664892197
108	4.2800000000	0.0040824749	0.0035375019	0.0055015511	0.0063355006	0.6337030000	0.0762480000	0.0508750000	0.0000010000	0.5044550000	0.0020100000	0	0	3.2631123066	4.0093379021	4.0749449730
109	4.3200000000	0.0042370302	0.0035439196	0.0055015511	0.0063172163	1.2071380000	0.0762310000	0.0561040000	0.0461480000	0.5008870000	0.5276680000	0	0	3.2616040707	4.0093727112	4.0760278702
110	4.3600000000	0.0045651752	0.0035532037	0.0055015511	0.0063272372	0.6278720000	0.0763460000	0.0473660000	0.0000000000	0.5020620000	0.0019830000	0	0	3.2542734146	4.0088281631	4.0843935013
111	4.4000000000	0.0043248455	0.0035601554	0.0055015511	0.0063263718	0.6809230000	0.0760980000	0.0558540000	0.0463810000	0.5004050000	0.0020780000	0	0	3.2475299835	4.0074939728	4.0910854340
112	4.4400000000	0.0043372642	0.0035670939	0.0055015511	0.0063277155	0.6268520000	0.0760290000	0.0470690000	0.0000000000	0.5016660000	0.0019720000	0	0	3.2396156788	4.0080847740	4.0989565849
113	4.4800000000	0.0044071907	0.0035745284	0.0055015511	0.0063347246	1.2000060000	0.0761600000	0.0496870000	0.0468060000	0.4988730000	0.5283750000	0	0	3.2355160713	4.0079350471	4.1031627655
114	4.5200000000	0.0044070743	0.0035818314	0.0055015511	0.0063809577	0.6264200000	0.0768800000	0.0480920000	0.0000000000	0.4993280000	0.0020200000	0	0	3.2246799469	4.0078353882	4.1154494286
115	4.5600000000	0.0044499314	0.0035893801	0.0055015511	0.0064042073	0.6710620000	0.0760180000	0.0476110000	0.0468420000	0.4984730000	0.0020080000	0	0	3.2240977287	4.0077090263	4.1172904968
116	4.6000000000	0.0044587501	0.0035968747	0.0055015511	0.0064448155	0.6194430000	0.0764110000	0.0420750000	0.0000000000	0.4988260000	0.0020230000	0	0	3.2136869431	4.0103359222	4.1293349266
117	4.6400000000	0.0045406483	0.0036049411	0.0055015511	0.0064524190	1.1868630000	0.0759170000	0.0421210000	0.0469410000	0.4956740000	0.5261050000	0	0	3.2061164379	4.0132846832	4.1397881508
118	4.6800000000	0.0045140842	0.0036126457	0.0055015511	0.0064252216	0.6236320000	0.0757580000	0.0497990000	0.0000010000	0.4960350000	0.0019370000	0	0	3.2004292011	4.0117287636	4.1439862251
119	4.7200000000	0.0043879850	0.0036191612	0.0055015511	0.0064032651	0.6693690000	0.0756200000	0.0481950000	0.0467790000	0.4966250000	0.0020430000	0	0	3.1939742565	4.0112414360	4.1509838104
120	4.7600000000	0.0043916288	0.0036255984	0.0055015511	0.0063785361	0.6738190000	0.0760220000	0.0975350000	0.0000010000	0.4980600000	0.0020920000	0	0	3.1871032715	4.0125875473	4.1592216492
121	4.8000000000	0.0042435504	0.0036307055	0.0055015511	0.0063613568	1.1999590000	0.0762900000	0.0581340000	0.0468940000	0.4933330000	0.5252020000	0	0	3.1776585579	4.0120449066	4.1769504547
122	4.8400000000	0.0044044182	0.0036370474	0.0055015511	0.0063388899	0.6195850000	0.0758230000	0.0456670000	0.0000000000	0.4958600000	0.0021230000	0	0	3.1762087345	4.0135517120	4.1777997017
123	4.8800000000	0.0044389884	0.0036435672	0.0055015511	0.0063168011	0.6752850000	0.0756910000	0.0573300000	0.0469830000	0.4931430000	0.0019960000	0	0	3.1705729961	4.0177226067	4.1841802597
